Team,Tempo,PosLO,PosLD,OE,DE
Northwestern St.,75.6,14,17.4,108.3,109
VMI,74.7,15.1,17.2,109,111.8
Maine,74.7,15,17.3,95.4,115.2
Nebraska Omaha,74,15.1,17.4,102.8,105.3
Arkansas,72.8,15.3,17.9,109,98.1
Mississippi Valley St.,72.7,16.4,16.1,93.6,114.9
Central Arkansas,72.3,15.3,17.5,95.7,112.5
Delaware,72.2,16.4,17.5,111.1,106
Niagara,72,15.3,17,100.9,109.7
BYU,72,13.9,18.7,112.8,101.7
Hampton,71.9,15.6,17.9,96.3,100.4
Massachusetts,71.8,15.9,17.5,107.9,97.4
Florida A&M,71.8,16.8,16.7,95,107.3
New Orleans,71.5,16.4,16.8,96.8,110.8
UNC Asheville,71.3,17.3,16.6,106.9,111.5
Iowa St.,71.3,15.2,18.4,118.4,99.9
Oklahoma,71,15.6,17.7,116.3,100.6
Louisiana Tech,70.9,16.5,16.8,109.5,96.1
North Carolina,70.8,15.3,18.9,111.7,95.4
Eastern Washington,70.8,17.1,17,104.9,111.1
UNC Greensboro,70.6,16.5,17.3,95.1,109
Austin Peay,70.5,16.9,16.6,99.9,111.1
Southeast Missouri St.,70.5,15.9,17.8,107.4,112.9
Iowa,70.4,15.1,19.3,119.8,102.7
VCU,70.4,16.1,17.9,107.9,90.2
USC,70.3,16,18.1,101.9,102.2
East Tennessee St.,70.3,15.1,18.6,103.1,109.1
Central Connecticut,70.2,16.1,17.6,97.8,110.1
Brown,70.1,16.4,18.2,100.5,100.6
Lipscomb,70.1,16.4,17.9,103.5,111
Quinnipiac,69.9,17.7,16.1,111,109.6
LSU,69.9,17,17.2,109.6,99.4
Houston Baptist,69.9,17.5,16.8,91.9,112.1
Iona,69.9,15.9,17.7,118.1,108.2
UT Arlington,69.9,16.8,17.5,104.9,109.6
Mount St. Mary's,69.9,17.2,16.9,108.2,110.8
UMKC,69.9,16.6,17.2,98.9,107.8
UCLA,69.8,15.8,18.3,117,97.3
Mississippi,69.8,16.5,17.9,109.9,102.7
Louisiana Lafayette,69.6,17.1,17,109.3,105.5
Loyola Marymount,69.6,17.2,17.3,103.9,106.3
Penn,69.6,16.9,17.2,98.4,106.5
Incarnate Word,69.6,16.6,17.2,102.5,109.5
Jacksonville,69.5,16.7,17.5,103.2,116.1
Chicago St.,69.5,17.2,17.4,97.2,107.9
Tennessee Martin,69.4,17.2,16.8,103.4,118.3
Charlotte,69.4,16.6,17.6,101.5,103
North Dakota,69.4,17.1,18.1,104,111.9
Manhattan,69.4,16.9,17.3,106.1,96.5
NJIT,69.3,17.4,17.8,95.8,109.5
Cal St. Northridge,69.3,16.9,18.1,106,111
Belmont,69.3,16.8,17.5,112.9,105.7
Arizona St.,69.2,16.6,18.1,109.3,97.6
Morgan St.,69.2,17.2,17.3,99.6,104.6
Maryland,69.2,17.1,18.2,107.6,95.5
Memphis,69.2,15.9,18.8,111.3,98.1
Oakland,69.1,17.9,16.8,108.9,112.1
Morehead St.,69.1,16.8,17.3,102.6,104.2
Purdue,69,16.5,18.7,106.9,101.2
Oklahoma St.,68.9,16.4,18.1,113.7,96.6
Fordham,68.9,17.4,17.1,107.7,111.3
Army,68.8,16.1,19.1,104.2,110.3
Indiana,68.8,17,17.7,106.5,97.5
Louisville,68.7,16.2,18.2,116.7,90
North Texas,68.7,16.7,17.7,98.9,104.3
Oregon,68.7,16.4,18,117.3,100.6
UMBC,68.7,17.4,17.8,92.5,108.4
Hawaii,68.7,17,18,109.7,108.9
North Florida,68.7,17.8,16.9,102.8,110.5
Rutgers,68.7,17.3,17.3,105.7,106.3
Washington,68.5,16.9,17.9,110.4,104.5
St. John's,68.5,16.6,18.8,106.4,96.8
UAB,68.5,16.8,17.8,103.5,103.2
Mississippi St.,68.4,16.1,18.9,99.6,103.7
UTSA,68.4,17.4,17.6,100.5,114.6
Toledo,68.4,16.9,18.1,113.2,109.1
Lamar,68.3,16.8,17.6,93,112.6
Chattanooga,68.3,16.9,17.6,100.7,109.9
Tulsa,68.2,16.9,17.9,104.7,96.3
Coppin St.,68.2,17.6,17.5,99.6,111.6
Longwood,68.2,17.2,17.3,96.5,117.3
Florida Gulf Coast,68.2,17.3,17.8,99.6,100.5
Marshall,68.2,17.1,17.6,98.4,105.3
Tennessee Tech,68.1,17.2,17.7,100.1,107.8
Monmouth,68.1,17,17.3,95.8,104.3
Buffalo,68.1,17.3,18,109.5,104.4
Wake Forest,68.1,17.2,18.4,105.5,101.9
Arkansas St.,68.1,17,17.7,105.9,106.7
Duquesne,68.1,16.1,18.8,109.9,108.6
LIU Brooklyn,68,17.1,17.7,102.2,117.8
Grambling St.,68,17.5,16.9,97.2,121.9
Arkansas Little Rock,68,17.4,17.5,100.4,105.6
Kansas,68,16.8,18.1,116.8,96.3
West Virginia,68,17.8,17.2,113.7,104.2
Wagner,68,17.6,17,98.2,99.4
Kennesaw St.,68,18.1,16.9,92.6,111.5
Temple,68,17.5,17.5,109.2,109.1
